Inst php7.2-mysql [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-opcache [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-intl [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-json [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-readline [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-soap [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-mbstring [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-curl [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-sqlite3 [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-zip [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-xml [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-gd [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst libapache2-mod-php7.2 [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-cli [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64]) []
Inst php7.2-common [7.2.15-0ubuntu0.18.04.1] (7.2.15-0ubuntu0.18.04.2 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64])
Inst linux-libc-dev [4.15.0-46.49] (4.15.0-47.50 Ubuntu:18.04/bionic-updates, Ubuntu:18.04/bionic-security [amd64])
